	Iozone: Performance Test of File I/O
	        Version $Revision: 3.397 $
		Compiled for 64 bit mode.
		Build: linux-AMD64 

	Contributors:William Norcott, Don Capps, Isom Crawford, Kirby Collins
	             Al Slater, Scott Rhine, Mike Wisner, Ken Goss
	             Steve Landherr, Brad Smith, Mark Kelly, Dr. Alain CYR,
	             Randy Dunlap, Mark Montague, Dan Million, Gavin Brebner,
	             Jean-Marc Zucconi, Jeff Blomberg, Benny Halevy, Dave Boone,
	             Erik Habbinga, Kris Strecker, Walter Wong, Joshua Root,
	             Fabrice Bacchella, Zhenghua Xue, Qin Li, Darren Sawyer.
	             Ben England.

	Run began: Fri May  1 11:53:56 2015

	Excel chart generation enabled
	Auto Mode
	Command line used: /opt/iozone/bin/iozone -Ra -b 64119.xls -f 64119.tmp
	Output is in Kbytes/sec
	Time Resolution = 0.000001 seconds.
	Processor cache size set to 1024 Kbytes.
	Processor cache line size set to 32 bytes.
	File stride size set to 17 * record size.
                                                            random  random    bkwd   record   stride                                   
              KB  reclen   write rewrite    read    reread    read   write    read  rewrite     read   fwrite frewrite   fread  freread
              64       4  735831 2203800  4274062  4564786 4018152 1780008 3363612  2801873  4564786  2116903  2133730 4274062  5389653
              64       8 1279447 2379626  6421025  8182586 5283570 2662899 4564786  3203069  6421025  2561267  2662899 5860307  7100397
              64      16 1460430 3165299 10821524 12902017 7940539 3022727 5735102  4018152  9318832  2892445  3541098 7940539  7940539
              64      32 1492919 3406295 10402178 12310336 9006179 3541098 6421025  4018152  9006179  3057153  489794810821524 10402178
              64      64 1421755 2772930 10821524 12902017 9318832 3203069 5735102  3406295  7940539  3203069  3363612 9006179  9006179
             128       4 1217930 2286447  5847904  6114306 4557257 2367096 4135958  2558895  4444086  2326073  2326073 5325799  5325799
             128       8 1377278 3445772 11720614 12842051 9795896 3785961 8036304  5122535 12842051  3657016  3560017 9795896 11470204
             128      16 1471662 2727923  7476717  8548124 7082197 2985839 6114306  4012317  7476717  3124872  3124872 7476717  8036304
             128      32 1642783 2843510  8548124  9795896 8036304 3468030 6727225  4012317  8548124  3560017  3657016 7917784  8548124
             128      64 1705404 2985839  9129573  9795896 8548124 3359523 7176872  3982553  9129573  2843510  5122535 9129573  9129573
